"","Name","Tm","Week","Target","Rec","RecYds","RecTD","FPts","FPts_G","Year"
"2","Martellus Bennett","NE",5,8,6,67,3,24.7,24.7,2016
"3","Greg Olsen","CAR",5,13,9,181,0,18.1,18.1,2016
"4","Hunter Henry","SD",5,4,3,74,1,13.4,13.4,2016
"5","Delanie Walker","TEN",5,8,5,66,1,12.6,12.6,2016
"6","Dwayne Allen","IND",5,6,6,50,1,11,11,2016
"7","Rob Gronkowski","NE",5,7,5,109,0,10.9,10.9,2016
"8","Jesse James","PIT",5,8,6,43,1,10.3,10.3,2016
"9","Antonio Gates","SD",5,5,4,30,1,9,9,2016
"10","Crockett Gillmore","BAL",5,7,4,28,1,8.8,8.8,2016
"11","Connor Hamlett","CLE",5,1,1,17,1,7.7,7.7,2016
"12","Gary Barnidge","CLE",5,8,5,76,0,7.6,7.6,2016
"13","Charles Clay","BUF",5,5,5,73,0,7.3,7.3,2016
"14","Zach Miller","CHI",5,8,7,73,0,7.3,7.3,2016
"15","CJ Fiedorowicz","HOU",5,8,4,61,0,6.1,6.1,2016
"16","Dennis Pitta","BAL",5,8,7,59,0,5.9,5.9,2016
"17","Jordan Reed","WAS",5,11,8,53,0,5.3,5.3,2016
"18","CJ Uzomah","CIN",5,5,5,43,0,4.3,4.3,2016
"19","Jason Witten","DAL",5,5,3,43,0,4.3,4.3,2016
"20","Cameron Brate","TB",5,3,1,38,0,3.8,3.8,2016
"21","Zach Ertz","PHI",5,3,3,37,0,3.7,3.7,2016
"22","Will Tye","NYG",5,3,2,37,0,3.7,3.7,2016
"23","Tyler Kroft","CIN",5,3,3,29,0,2.9,2.9,2016
"24","Jerell Adams","NYG",5,2,2,27,0,2.7,2.7,2016
"25","Lance Kendricks","LAR",5,3,2,24,0,2.4,2.4,2016
"26","Austin SeferianJenkins","NYJ",5,2,2,17,0,1.7,1.7,2016
"27","Vernon Davis","WAS",5,4,3,15,0,1.5,1.5,2016
"28","Kyle Rudolph","MIN",5,4,2,15,0,1.5,1.5,2016
"29","Austin Hooper","ATL",5,1,1,14,0,1.4,1.4,2016
"30","Xavier Grimble","PIT",5,2,2,13,0,1.3,1.3,2016
"31","Brandon Myers","TB",5,1,1,12,0,1.2,1.2,2016
"32","Anthony Fasano","TEN",5,1,1,10,0,1,1,2016
"33","Brandon Bostick","NYJ",5,1,1,9,0,0.9,0.9,2016
"34","Jack Doyle","IND",5,3,2,8,0,0.8,0.8,2016
"35","Ryan Griffin","HOU",5,6,2,8,0,0.8,0.8,2016
"36","Richard Rodgers","GB",5,5,1,6,0,0.6,0.6,2016
"37","Dion Sims","MIA",5,3,1,6,0,0.6,0.6,2016
"38","Trey Burton","PHI",5,2,1,5,0,0.5,0.5,2016
"39","Alan Cross","TB",5,1,1,5,0,0.5,0.5,2016
"40","Blake Bell","SF",5,2,1,4,0,0.4,0.4,2016
"41","Garrett Celek","SF",5,6,1,4,0,0.4,0.4,2016
"42","Jermaine Gresham","ARI",5,1,1,4,0,0.4,0.4,2016
"43","Dominique Jones","MIA",5,2,2,4,0,0.4,0.4,2016
"44","Jacob Tamme","ATL",5,1,1,1,0,0.1,0.1,2016
"45","Jeff Heuerman","DEN",5,1,0,0,0,0,0,2016
"46","Tyler Higbee","LAR",5,1,0,0,0,0,0,2016
"47","Malcolm Johnson","CLE",5,1,0,0,0,0,0,2016
"48","Logan Paulsen","CHI",5,1,0,0,0,0,0,2016
"49","John Phillips","DEN",5,1,0,0,0,0,0,2016
"50","Geoff Swaim","DAL",5,1,0,0,0,0,0,2016
"51","Levine Toilolo","ATL",5,1,0,0,0,0,0,2016
"210","Hakeem Valles","ARI",5,1,0,0,0,0,0,2016
"310","Cole Wick","DET",5,0,0,0,0,0,0,2016
