"","Name","Tm","Week","Target","Rec","RecYds","RecTD","RushAtt","RushYds","RushTD","FPts","FPts_G","Year"
"2","Marvin Jones","DET",3,8,6,205,2,0,0,0,32.5,32.5,2016
"3","Emmanuel Sanders","DEN",3,13,9,117,2,0,0,0,23.7,23.7,2016
"4","TY Hilton","IND",3,11,8,174,1,0,0,0,23.4,23.4,2016
"5","Terrelle Pryor","CLE",3,14,8,144,0,4,21,1,22.5,22.5,2016
"6","Jordy Nelson","GB",3,7,6,101,2,0,0,0,22.1,22.1,2016
"7","Doug Baldwin","SEA",3,10,8,164,1,1,-4,0,22,22,2016
"8","Jarvis Landry","MIA",3,12,7,120,1,2,16,0,19.6,19.6,2016
"9","Mike Evans","TB",3,13,10,132,1,0,0,0,19.2,19.2,2016
"10","Allen Robinson","JAC",3,11,7,57,2,0,0,0,17.7,17.7,2016
"11","Tavon Austin","LAR",3,8,5,82,1,2,22,0,16.4,16.4,2016
"12","Demaryius Thomas","DEN",3,7,6,100,1,0,0,0,16,16,2016
"13","DeSean Jackson","WAS",3,8,5,96,1,0,0,0,15.6,15.6,2016
"14","Antonio Brown","PIT",3,18,12,140,0,0,0,0,14,14,2016
"15","Jamison Crowder","WAS",3,7,4,78,1,0,0,0,13.8,13.8,2016
"16","Sterling Shepard","NYG",3,7,5,73,1,0,0,0,13.3,13.3,2016
"17","Michael Thomas","NO",3,11,7,71,1,0,0,0,13.1,13.1,2016
"18","Odell Beckham Jr","NYG",3,11,7,121,0,0,0,0,12.1,12.1,2016
"19","Brian Quick","LAR",3,2,2,53,1,0,0,0,11.3,11.3,2016
"20","DeVante Parker","MIA",3,6,3,51,1,0,0,0,11.1,11.1,2016
"21","Michael Crabtree","OAK",3,11,8,102,0,0,0,0,10.2,10.2,2016
"22","Dez Bryant","DAL",3,6,3,40,1,0,0,0,10,10,2016
"23","Adam Humphries","TB",3,12,9,100,0,0,0,0,10,10,2016
"24","Terrance Williams","DAL",3,4,4,88,0,0,0,0,8.8,8.8,2016
"25","Seth Roberts","OAK",3,6,2,27,1,0,0,0,8.7,8.7,2016
"26","Steve Smith","BAL",3,11,8,87,0,0,0,0,8.7,8.7,2016
"27","Justin Hardy","ATL",3,2,2,26,1,0,0,0,8.6,8.6,2016
"28","Davante Adams","GB",3,2,2,23,1,0,0,0,8.3,8.3,2016
"29","Travis Benjamin","SD",3,7,4,82,0,0,0,0,8.2,8.2,2016
"30","Anquan Boldin","DET",3,6,4,22,1,0,0,0,8.2,8.2,2016
"31","Jordan Matthews","PHI",3,3,2,19,1,0,0,0,7.9,7.9,2016
"32","Brandon Coleman","NO",3,8,7,78,0,0,0,0,7.8,7.8,2016
"33","AJ Green","CIN",3,11,8,77,0,0,0,0,7.7,7.7,2016
"34","Kenny Stills","MIA",3,8,5,76,0,0,0,0,7.6,7.6,2016
"35","Cole Beasley","DAL",3,7,7,73,0,0,0,0,7.3,7.3,2016
"36","John Brown","ARI",3,11,6,70,0,0,0,0,7,7,2016
"37","Victor Cruz","NYG",3,3,3,70,0,0,0,0,7,7,2016
"38","Alshon Jeffery","CHI",3,7,5,70,0,0,0,0,7,7,2016
"39","Tyrell Williams","SD",3,9,6,69,0,0,0,0,6.9,6.9,2016
"40","Ted Ginn Jr","CAR",3,7,3,62,0,2,5,0,6.7,6.7,2016
"41","Michael Floyd","ARI",3,11,4,65,0,0,0,0,6.5,6.5,2016
"42","Amari Cooper","OAK",3,9,4,62,0,0,0,0,6.2,6.2,2016
"43","Kevin White","CHI",3,14,6,62,0,0,0,0,6.2,6.2,2016
"44","Larry Fitzgerald","ARI",3,12,7,60,0,0,0,0,6,6,2016
"45","Pierre Garcon","WAS",3,7,5,59,0,0,0,0,5.9,5.9,2016
"46","Philly Brown","CAR",3,5,4,57,0,0,0,0,5.7,5.7,2016
"47","DeAndre Hopkins","HOU",3,8,4,56,0,0,0,0,5.6,5.6,2016
"48","Julian Edelman","NE",3,6,4,38,0,3,14,0,5.2,5.2,2016
"49","Robert Woods","BUF",3,8,6,51,0,0,0,0,5.1,5.1,2016
"50","Sammie Coates","PIT",3,4,3,50,0,0,0,0,5,5,2016
"51","Jaron Brown","ARI",3,6,3,49,0,0,0,0,4.9,4.9,2016
"210","Tajae Sharpe","TEN",3,7,3,48,0,0,0,0,4.8,4.8,2016
"310","Chris Conley","KC",3,5,3,44,0,0,0,0,4.4,4.4,2016
"410","Marqise Lee","JAC",3,7,5,44,0,0,0,0,4.4,4.4,2016
"52","Tommylee Lewis","NO",3,4,3,43,0,1,1,0,4.4,4.4,2016
"61","Stefon Diggs","MIN",3,7,4,40,0,0,0,0,4,4,2016
"71","Allen Hurns","JAC",3,8,4,40,0,0,0,0,4,4,2016
"81","Ricardo Louis","CLE",3,4,3,40,0,0,0,0,4,4,2016
"91","Mike Wallace","BAL",3,6,3,34,0,1,5,0,3.9,3.9,2016
"101","Kenny Britt","LAR",3,6,4,38,0,0,0,0,3.8,3.8,2016
"111","Quincy Enunwa","NYJ",3,11,4,37,0,0,0,0,3.7,3.7,2016
"121","Vincent Jackson","TB",3,6,3,37,0,0,0,0,3.7,3.7,2016
"131","Jeremy Maclin","KC",3,7,4,35,0,0,0,0,3.5,3.5,2016
"141","Torrey Smith","SF",3,4,3,35,0,0,0,0,3.5,3.5,2016
"151","Robby Anderson","NYJ",3,2,2,34,0,0,0,0,3.4,3.4,2016
"161","Randall Cobb","GB",3,3,1,33,0,0,0,0,3.3,3.3,2016
"171","Taylor Gabriel","ATL",3,3,2,33,0,0,0,0,3.3,3.3,2016
"181","Dorial GreenBeckham","PHI",3,4,3,33,0,0,0,0,3.3,3.3,2016
"191","Dontrelle Inman","SD",3,4,3,32,0,0,0,0,3.2,3.2,2016
"201","Brandon LaFell","CIN",3,3,2,34,0,1,-2,0,3.2,3.2,2016
"211","Rishard Matthews","TEN",3,8,3,32,0,0,0,0,3.2,3.2,2016
"221","Eli Rogers","PIT",3,5,2,32,0,0,0,0,3.2,3.2,2016
"231","Golden Tate","DET",3,6,4,40,0,1,-8,0,3.2,3.2,2016
"241","Eric Decker","NYJ",3,6,1,31,0,0,0,0,3.1,3.1,2016
"251","Will Fuller","HOU",3,7,3,31,0,0,0,0,3.1,3.1,2016
"261","Mohamed Sanu","ATL",3,4,3,31,0,0,0,0,3.1,3.1,2016
"271","Adam Thielen","MIN",3,4,3,29,0,0,0,0,2.9,2.9,2016
"281","Walter Powell","BUF",3,5,3,28,0,0,0,0,2.8,2.8,2016
"291","Phillip Dorsett","IND",3,4,3,27,0,0,0,0,2.7,2.7,2016
"301","Brandon Marshall","NYJ",3,10,3,27,0,0,0,0,2.7,2.7,2016
"311","Malcolm Mitchell","NE",3,2,1,27,0,0,0,0,2.7,2.7,2016
"321","Jeremy Kerley","SF",3,6,2,24,0,0,0,0,2.4,2.4,2016
"331","Cameron Meredith","CHI",3,3,2,24,0,0,0,0,2.4,2.4,2016
"341","Breshad Perriman","BAL",3,4,2,22,0,1,2,0,2.4,2.4,2016
"351","Danny Amendola","NE",3,2,2,23,0,0,0,0,2.3,2.3,2016
"361","Tyreek Hill","KC",3,4,3,26,0,1,-3,0,2.3,2.3,2016
"371","Nelson Agholor","PHI",3,3,3,21,0,0,0,0,2.1,2.1,2016
"381","Eddie Royal","CHI",3,3,3,21,0,0,0,0,2.1,2.1,2016
"391","Harry Douglas","TEN",3,4,2,20,0,0,0,0,2,2,2016
"401","Josh Huff","PHI",3,5,4,20,0,0,0,0,2,2,2016
"411","Brandin Cooks","NO",3,8,2,13,0,1,6,0,1.9,1.9,2016
"421","Jalin Marshall","NYJ",3,4,2,19,0,0,0,0,1.9,1.9,2016
"431","Rod Streater","SF",3,1,1,19,0,0,0,0,1.9,1.9,2016
"441","Tyler Boyd","CIN",3,4,3,18,0,0,0,0,1.8,1.8,2016
"451","Julio Jones","ATL",3,7,1,16,0,0,0,0,1.6,1.6,2016
"461","Andrew Hawkins","CLE",3,4,2,14,0,1,1,0,1.5,1.5,2016
"471","Jaelen Strong","HOU",3,4,1,15,0,0,0,0,1.5,1.5,2016
"481","Bennie Fowler","DEN",3,1,1,13,0,0,0,0,1.3,1.3,2016
"491","Bradley Marquez","LAR",3,2,1,12,0,0,0,0,1.2,1.2,2016
"501","Jermaine Kearse","SEA",3,2,2,11,0,0,0,0,1.1,1.1,2016
"511","Cody Latimer","DEN",3,1,1,10,0,0,0,0,1,1,2016
"212","James Wright","CIN",3,1,1,10,0,0,0,0,1,1,2016
"312","Andre Holmes","OAK",3,1,1,8,0,0,0,0,0.8,0.8,2016
"412","Cordarrelle Patterson","MIN",3,1,1,8,0,0,0,0,0.8,0.8,2016
"53","Quinton Patton","SF",3,4,1,8,0,0,0,0,0.8,0.8,2016
"62","Marquise Goodwin","BUF",3,5,1,6,0,0,0,0,0.6,0.6,2016
"72","Russell Shepard","TB",3,2,1,6,0,0,0,0,0.6,0.6,2016
"82","Kamar Aiken","BAL",3,1,1,5,0,0,0,0,0.5,0.5,2016
"92","Aldrick Robinson","ATL",3,2,1,4,0,0,0,0,0.4,0.4,2016
"102","Chris Hogan","NE",3,3,1,3,0,0,0,0,0.3,0.3,2016
"112","Lucky Whitehead","DAL",3,0,0,0,0,1,3,0,0.3,0.3,2016
"122","Johnny Holton","OAK",3,0,0,0,0,1,2,0,0.2,0.2,2016
"132","Chris Moore","BAL",3,1,1,2,0,0,0,0,0.2,0.2,2016
"142","Markus Wheaton","PIT",3,5,1,2,0,0,0,0,0.2,0.2,2016
"152","Kelvin Benjamin","CAR",3,1,0,0,0,0,0,0,0,0,2016
"162","Brice Butler","DAL",3,1,0,0,0,0,0,0,0,0,2016
"172","Trevor Davis","GB",3,1,0,0,0,0,0,0,0,0,2016
"182","Devin Funchess","CAR",3,2,0,0,0,0,0,0,0,0,2016
"192","Ryan Grant","WAS",3,1,0,0,0,0,0,0,0,0,2016
"202","Devin Hester","BAL",3,0,0,0,0,0,0,0,0,0,2016
"213","Darrius HeywardBey","PIT",3,1,0,0,0,0,0,0,0,0,2016
"222","Rashard Higgins","CLE",3,1,0,0,0,0,0,0,0,0,2016
"232","Andre Johnson","TEN",3,3,0,0,0,0,0,0,0,0,2016
"242","Charles Johnson","MIN",3,2,0,0,0,0,0,0,0,0,2016
"252","Tanner McEvoy","SEA",3,1,0,0,0,0,0,0,0,0,2016
"262","Jordan Norwood","DEN",3,2,0,0,0,1,0,0,0,0,2016
"272","Andre Roberts","DET",3,1,0,0,0,0,0,0,0,0,2016
"282","Chester Rogers","IND",3,2,0,0,0,0,0,0,0,0,2016
"292","Mike Thomas","LAR",3,1,0,0,0,0,0,0,0,0,2016
"302","Ty Montgomery","GB",3,0,0,0,0,1,-1,0,-0.1,-0.1,2016
