GameID,Week,Day,Date,WinnerID,LoserID,WinnerScore,LoserScore,StadiumID,Time,Duration,Attendance,Temperature,Humidity,Wind,FavoredTeam,Spread,OverUnder,OUResult,URL
,1,Thu,2016-09-08,10,5,21,20,10,8:40pm,3:12,76843,85,12,10,5,3,40.5,O,http://www.pro-football-reference.com/boxscores/201609080den.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
,1,Sun,2016-09-11,12,15,27,23,15,1:04pm,3:10,63179,90,55,3,12,3.5,47,O,http://www.pro-football-reference.com/boxscores/201609110jax.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
,1,Sun,2016-09-11,3,4,13,7,3,1:04pm,2:54,71104,84,44,8,3,3,44.5,U,http://www.pro-football-reference.com/boxscores/201609110rav.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
,1,Sun,2016-09-11,13,6,23,14,13,1:05pm,2:58,71933,,,,13,5.5,43,U,http://www.pro-football-reference.com/boxscores/201609110htx.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
,1,Sun,2016-09-11,7,23,23,22,22,1:05pm,3:01,78160,79,40,17,23,1,42,O,http://www.pro-football-reference.com/boxscores/201609110nyj.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
,1,Sun,2016-09-11,25,8,29,10,24,1:05pm,2:59,69596,85,42,14,25,4,41.5,U,http://www.pro-football-reference.com/boxscores/201609110phi.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
,1,Sun,2016-09-11,19,31,25,16,30,1:05pm,2:57,63816,76,47,5,19,2.5,40,O,http://www.pro-football-reference.com/boxscores/201609110oti.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
,1,Sun,2016-09-11,24,21,35,34,21,1:05pm,4:23,73028,,,,21,2.5,50,O,http://www.pro-football-reference.com/boxscores/201609110nor.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
,1,Sun,2016-09-11,30,2,31,24,2,1:05pm,3:02,69382,,,,2,2.5,46.5,O,http://www.pro-football-reference.com/boxscores/201609110atl.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
,1,Sun,2016-09-11,16,27,33,27,16,1:05pm,3:34,73238,74,51,9,16,6.5,45.5,O,http://www.pro-football-reference.com/boxscores/201609110kan.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
,1,Sun,2016-09-11,29,18,12,10,28,4:08pm,3:05,69012,61,68,2,29,10.5,43.5,U,http://www.pro-football-reference.com/boxscores/201609110sea.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
,1,Sun,2016-09-11,22,9,20,19,9,4:27pm,2:59,92867,,,,9,1,47.5,U,http://www.pro-football-reference.com/boxscores/201609110dal.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
,1,Sun,2016-09-11,11,14,39,35,14,4:27pm,3:25,65566,,,,14,2.5,51,O,http://www.pro-football-reference.com/boxscores/201609110clt.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
,1,Sun,2016-09-11,20,1,23,21,1,7:30pm,3:03,64864,,,,1,9,44.5,U,http://www.pro-football-reference.com/boxscores/201609110crd.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
,1,Mon,2016-09-12,26,32,38,16,31,7:11pm,2:56,79124,79,41,4,26,2.5,49,O,http://www.pro-football-reference.com/boxscores/201609120was.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
,1,Mon,2016-09-12,28,17,28,0,27,10:20pm,3:05,70178,66,56,17,17,2.5,43,U,http://www.pro-football-reference.com/boxscores/201609120sfo.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
,2,Thu,2016-09-15,23,4,37,31,4,8:26pm,3:13,70256,60,65,11,4,1,40.5,O,http://www.pro-football-reference.com/boxscores/201609150buf.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
,2,Sun,2016-09-18,31,11,16,15,11,1:02pm,3:12,58466,,,,11,6,48,U,http://www.pro-football-reference.com/boxscores/201609180det.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
,2,Sun,2016-09-18,3,8,25,20,8,1:02pm,3:09,67431,74,70,7,3,4,42,O,http://www.pro-football-reference.com/boxscores/201609180cle.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
,2,Sun,2016-09-18,13,16,19,12,13,1:02pm,3:15,71890,,,,16,1,41.5,U,http://www.pro-football-reference.com/boxscores/201609180htx.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
,2,Sun,2016-09-18,20,18,31,24,20,1:02pm,3:08,66829,79,66,10,20,5.5,42,O,http://www.pro-football-reference.com/boxscores/201609180nwe.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
,2,Sun,2016-09-18,26,7,24,16,25,1:02pm,3:14,65072,72,86,4,26,3,48,U,http://www.pro-football-reference.com/boxscores/201609180pit.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
,2,Sun,2016-09-18,9,32,27,23,31,1:03pm,3:09,80612,81,65,6,32,3.5,47,O,http://www.pro-football-reference.com/boxscores/201609180was.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
,2,Sun,2016-09-18,22,21,16,13,22,1:03pm,3:07,77727,80,74,5,22,3.5,54,U,http://www.pro-football-reference.com/boxscores/201609180nyg.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
,2,Sun,2016-09-18,5,28,46,27,5,1:03pm,3:43,74143,82,60,4,5,12,44.5,O,http://www.pro-football-reference.com/boxscores/201609180car.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
,2,Sun,2016-09-18,1,30,40,7,1,1:05pm,3:12,64230,,,,1,7.5,49.5,U,http://www.pro-football-reference.com/boxscores/201609180crd.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
,2,Sun,2016-09-18,17,29,9,3,17,4:08pm,3:04,91046,88,39,3,29,5.5,38,U,http://www.pro-football-reference.com/boxscores/201609180ram.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
,2,Sun,2016-09-18,10,14,34,20,10,4:25pm,3:12,76379,85,15,4,10,6,47,O,http://www.pro-football-reference.com/boxscores/201609180den.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
,2,Sun,2016-09-18,2,24,35,28,23,4:25pm,3:17,54081,79,41,7,24,4,47.5,O,http://www.pro-football-reference.com/boxscores/201609180rai.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
,2,Sun,2016-09-18,27,15,38,14,26,4:25pm,3:14,52165,82,51,7,27,3,47.5,O,http://www.pro-football-reference.com/boxscores/201609180sdg.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
,2,Sun,2016-09-18,19,12,17,14,19,8:32pm,3:12,66813,,,,12,1.5,43,U,http://www.pro-football-reference.com/boxscores/201609180min.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
,2,Mon,2016-09-19,25,6,29,14,6,8:30pm,3:02,62268,84,36,5,6,3,42.5,O,http://www.pro-football-reference.com/boxscores/201609190chi.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
,3,Thu,2016-09-22,20,13,27,0,20,8:26pm,3:02,66829,68,60,4,,0,38.5,U,http://www.pro-football-reference.com/boxscores/201609220nwe.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
,3,Sun,2016-09-25,12,11,34,27,12,1:02pm,2:54,78411,72,84,17,12,6,47.5,O,http://www.pro-football-reference.com/boxscores/201609250gnb.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
,3,Sun,2016-09-25,18,8,30,24,18,1:02pm,3:31,65176,86,65,16,18,10,42,O,http://www.pro-football-reference.com/boxscores/201609250mia.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
,3,Sun,2016-09-25,10,7,29,17,7,1:02pm,3:05,63850,81,53,3,7,3.5,42,O,http://www.pro-football-reference.com/boxscores/201609250cin.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
,3,Sun,2016-09-25,4,1,33,18,4,1:02pm,3:18,68647,64,44,8,1,5,48,O,http://www.pro-football-reference.com/boxscores/201609250buf.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
,3,Sun,2016-09-25,3,15,19,17,15,1:02pm,3:07,60127,88,0,8,3,2.5,45,U,http://www.pro-football-reference.com/boxscores/201609250jax.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
,3,Sun,2016-09-25,19,5,22,10,5,1:02pm,3:05,73813,80,63, ,5,6,43,U,http://www.pro-football-reference.com/boxscores/201609250car.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
,3,Sun,2016-09-25,24,31,17,10,30,1:02pm,3:03,62370,89,49,2,24,1.5,47,U,http://www.pro-football-reference.com/boxscores/201609250oti.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
,3,Sun,2016-09-25,32,22,29,27,22,1:02pm,3:26,78368,67,37,2,22,3.5,47,O,http://www.pro-football-reference.com/boxscores/201609250nyg.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
,3,Sun,2016-09-25,29,28,37,18,28,4:05pm,2:59,69010,66,63,6,29,10.5,42,O,http://www.pro-football-reference.com/boxscores/201609250sea.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
,3,Sun,2016-09-25,17,30,37,32,29,4:05pm,4:31,55009,91,58,4,30,3.5,40.5,O,http://www.pro-football-reference.com/boxscores/201609250tam.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
,3,Sun,2016-09-25,25,26,34,3,24,4:25pm,2:56,69596,73,39,7,26,3.5,46.5,U,http://www.pro-football-reference.com/boxscores/201609250phi.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
,3,Sun,2016-09-25,14,27,26,22,14,4:25pm,3:23,64747,,,,14,1.5,51.5,U,http://www.pro-football-reference.com/boxscores/201609250clt.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
,3,Sun,2016-09-25,16,23,24,3,16,4:26pm,2:54,71587,65,63,9,16,3,44.5,U,http://www.pro-football-reference.com/boxscores/201609250kan.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
,3,Sun,2016-09-25,9,6,31,17,9,8:31pm,3:08,90554,,,,9,6.5,44.5,O,http://www.pro-football-reference.com/boxscores/201609250dal.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
,3,Mon,2016-09-26,2,21,45,32,21,8:30pm,3:02,73003,,,,21,2.5,54,O,http://www.pro-football-reference.com/boxscores/201609260nor.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
,4,Thu,2016-09-29,7,18,22,7,7,8:26pm,2:51,60834,62,77,2,7,7.5,46,U,http://www.pro-football-reference.com/boxscores/201609290cin.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
,4,Sun,2016-10-02,15,14,30,27,32,9:35am,3:15,83764,59,59,7,14,1,48,O,http://www.pro-football-reference.com/boxscores/201610020jax.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
,4,Sun,2016-10-02,6,11,17,14,6,1:00pm,3:00,60841,62,84,6,11,3,48,U,http://www.pro-football-reference.com/boxscores/201610020chi.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
,4,Sun,2016-10-02,24,3,28,27,3,1:02pm,3:20,71152,65,84,2,3,3.5,45,O,http://www.pro-football-reference.com/boxscores/201610020rav.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
,4,Sun,2016-10-02,4,20,16,0,20,1:02pm,2:50,66829,56,91,7,20,3.5,41,U,http://www.pro-football-reference.com/boxscores/201610020nwe.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
,4,Sun,2016-10-02,13,31,27,20,13,1:02pm,3:08,71815,,,,13,4,40,O,http://www.pro-football-reference.com/boxscores/201610020htx.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
,4,Sun,2016-10-02,29,23,27,17,22,1:03pm,3:04,78160,61,77, ,29,1,40,O,http://www.pro-football-reference.com/boxscores/201610020nyj.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
,4,Sun,2016-10-02,2,5,48,33,2,1:04pm,3:16,70508,,,,5,2.5,48.5,O,http://www.pro-football-reference.com/boxscores/201610020atl.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
