"","Name","Tm","Week","Target","Rec","RecYds","RecTD","RushAtt","RushYds","RushTD","FPts","FPts_G","Year"
"2","Sammie Coates","PIT",5,11,6,139,2,0,0,0,25.9,25.9,2016
"3","TY Hilton","IND",5,11,10,171,1,0,0,0,23.1,23.1,2016
"4","Larry Fitzgerald","ARI",5,8,6,81,2,0,0,0,20.1,20.1,2016
"5","Amari Cooper","OAK",5,12,6,138,1,0,0,0,19.8,19.8,2016
"6","Cameron Meredith","CHI",5,12,9,130,1,1,6,0,19.6,19.6,2016
"7","Brandon LaFell","CIN",5,11,8,68,2,0,0,0,18.8,18.8,2016
"8","Adam Thielen","MIN",5,8,7,127,1,0,0,0,18.7,18.7,2016
"9","Tyrell Williams","SD",5,6,5,117,1,0,0,0,17.7,17.7,2016
"10","Brandon Marshall","NYJ",5,15,8,114,1,0,0,0,17.4,17.4,2016
"11","Jeremy Kerley","SF",5,13,8,102,1,0,0,0,16.2,16.2,2016
"12","Mike Evans","TB",5,12,6,89,1,0,0,0,14.9,14.9,2016
"13","Davante Adams","GB",5,8,5,85,1,0,0,0,14.5,14.5,2016
"14","Antonio Brown","PIT",5,11,9,78,1,0,0,0,13.8,13.8,2016
"15","Travis Benjamin","SD",5,11,7,117,0,0,0,0,11.7,11.7,2016
"16","Odell Beckham Jr","NYG",5,12,5,56,1,0,0,0,11.6,11.6,2016
"17","Pierre Garcon","WAS",5,7,5,56,1,0,0,0,11.6,11.6,2016
"18","Andrew Hawkins","CLE",5,7,4,56,1,0,0,0,11.6,11.6,2016
"19","Chris Hogan","NE",5,5,4,114,0,1,2,0,11.6,11.6,2016
"20","DeAndre Hopkins","HOU",5,9,5,56,1,0,0,0,11.6,11.6,2016
"21","Cole Beasley","DAL",5,4,4,53,1,0,0,0,11.3,11.3,2016
"22","Demaryius Thomas","DEN",5,7,5,49,1,0,0,0,10.9,10.9,2016
"23","Randall Cobb","GB",5,11,9,108,0,1,0,0,10.8,10.8,2016
