"","Name","Tm","Week","PassCmp","PassAtt","PassYds","PassTD","Int","RushAtt","RushYds","RushTD","FPts","FPts_G","Year"
"2","Jameis Winston","TB",3,36,58,405,3,1,4,13,0,33.6,33.6,2016
"3","Matthew Stafford","DET",3,28,41,385,3,1,2,11,0,32.4,32.4,2016
"4","Trevor Siemian","DEN",3,23,35,312,4,0,3,5,0,32.1,32.1,2016
"5","Drew Brees","NO",3,36,54,376,3,1,2,9,0,31.7,31.7,2016
"6","Aaron Rodgers","GB",3,15,24,205,4,0,5,22,0,28.5,28.5,2016
"7","Ryan Tannehill","MIA",3,25,39,319,3,2,1,2,0,28.2,28.2,2016
"8","Dak Prescott","DAL",3,19,24,248,1,0,4,36,1,26,26,2016
"9","Carson Wentz","PHI",3,23,31,301,2,0,1,10,0,24.1,24.1,2016
"10","Brian Hoyer","CHI",3,30,49,317,2,0,3,-3,0,23.6,23.6,2016
"11","Kirk Cousins","WAS",3,21,35,296,2,0,3,-5,0,22.3,22.3,2016
"12","Matt Ryan","ATL",3,20,30,240,2,0,5,23,0,22.3,22.3,2016
"13","Cam Newton","CAR",3,21,35,262,0,3,7,26,1,21.7,21.7,2016
"14","Eli Manning","NYG",3,25,38,350,1,2,0,0,0,21.5,21.5,2016
"15","Andrew Luck","IND",3,24,37,331,1,1,0,0,0,20.6,20.6,2016
"16","Tyrod Taylor","BUF",3,14,25,119,0,1,9,76,1,19.6,19.6,2016
"17","Blake Bortles","JAC",3,24,38,194,2,3,3,17,0,19.4,19.4,2016
"18","Joe Flacco","BAL",3,29,40,214,0,2,3,12,1,17.9,17.9,2016
"19","Case Keenum","LAR",3,14,26,190,2,1,2,1,0,17.6,17.6,2016
"20","Philip Rivers","SD",3,26,39,330,0,0,1,2,0,16.7,16.7,2016
"21","Russell Wilson","SEA",3,15,23,243,1,0,1,3,0,16.5,16.5,2016
"22","Derek Carr","OAK",3,21,35,249,1,1,1,-1,0,16.4,16.4,2016
"23","Jacoby Brissett","NE",3,11,19,103,0,0,8,48,1,16,16,2016
"24","Alex Smith","KC",3,25,33,237,1,0,3,-3,0,15.6,15.6,2016
"25","Carson Palmer","ARI",3,26,50,287,0,4,0,0,0,14.4,14.4,2016
"26","Andy Dalton","CIN",3,21,31,206,0,1,6,40,0,14.3,14.3,2016
"27","Ben Roethlisberger","PIT",3,24,44,257,0,1,1,7,0,13.6,13.6,2016
"28","Marcus Mariota","TEN",3,17,33,214,0,2,3,22,0,12.9,12.9,2016
"29","Sam Bradford","MIN",3,18,28,171,1,0,2,-2,0,12.4,12.4,2016
"30","Cody Kessler","CLE",3,21,33,244,0,0,2,-1,0,12.1,12.1,2016
"31","Ryan Fitzpatrick","NYJ",3,20,44,188,0,6,3,22,0,11.6,11.6,2016
"32","Brock Osweiler","HOU",3,24,41,196,0,1,1,13,0,11.1,11.1,2016
"33","Blaine Gabbert","SF",3,14,25,119,0,1,5,22,0,8.2,8.2,2016
"34","Trevone Boykin","SEA",3,7,9,65,1,1,2,-2,0,7.1,7.1,2016
"35","Derek Anderson","CAR",3,1,1,3,0,0,0,0,0,0.2,0.2,2016
