"","Name","Tm","Week","RushAtt","RushYds","RushTD","Target","Rec","RecYds","RecTD","FPts","FPts_G","Year"
"2","David Johnson","ARI",5,27,157,2,6,3,28,0,30.5,30.5,2016
"3","Ezekiel Elliott","DAL",5,15,134,2,4,3,37,0,29.1,29.1,2016
"4","Tevin Coleman","ATL",5,6,31,0,6,4,132,1,22.3,22.3,2016
"5","Jordan Howard","CHI",5,16,118,0,3,3,45,1,22.3,22.3,2016
"6","Cameron ArtisPayne","CAR",5,18,85,2,0,0,0,0,20.5,20.5,2016
"7","Theo Riddick","DET",5,11,49,0,6,6,33,2,20.2,20.2,2016
"8","Devonta Freeman","ATL",5,23,88,1,5,3,35,0,18.3,18.3,2016
"9","Carlos Hyde","SF",5,22,78,1,6,6,36,0,17.4,17.4,2016
"10","Todd Gurley","LAR",5,23,72,1,5,3,36,0,16.8,16.8,2016
"11","Matt Asiata","MIN",5,14,55,1,3,3,46,0,16.1,16.1,2016
"12","LeSean McCoy","BUF",5,18,150,0,2,2,8,0,15.8,15.8,2016
"13","LeVeon Bell","PIT",5,20,66,0,11,9,88,0,15.4,15.4,2016
"14","Melvin Gordon","SD",5,16,69,0,1,1,18,1,14.7,14.7,2016
"15","DeMarco Murray","TEN",5,27,121,0,6,5,16,0,13.7,13.7,2016
"16","Ryan Mathews","PHI",5,11,42,0,5,5,33,1,13.5,13.5,2016
"17","Jacquizz Rodgers","TB",5,30,101,0,6,5,28,0,12.9,12.9,2016
"18","Jay Ajayi","MIA",5,13,42,1,1,0,0,0,10.2,10.2,2016
"19","LeGarrette Blount","NE",5,18,37,1,0,0,0,0,9.7,9.7,2016
"20","Jalen Richard","OAK",5,8,31,0,7,6,66,0,9.7,9.7,2016
"21","Giovani Bernard","CIN",5,9,50,0,6,6,46,0,9.6,9.6,2016
"22","Terrance West","BAL",5,11,95,0,3,2,-6,0,8.9,8.9,2016
"23","James White","NE",5,5,26,0,6,4,63,0,8.9,8.9,2016
"24","Eddie Lacy","GB",5,11,81,0,1,1,3,0,8.4,8.4,2016
"25","Jamize Olawale","OAK",5,6,22,1,1,1,2,0,8.4,8.4,2016
"26","Frank Gore","IND",5,14,75,0,2,1,4,0,7.9,7.9,2016
"27","Bobby Rainey","NYG",5,5,22,0,6,6,52,0,7.4,7.4,2016
"28","Damien Williams","MIA",5,1,3,0,2,2,67,0,7,7,2016
"29","Darren Sproles","PHI",5,5,45,0,4,4,23,0,6.8,6.8,2016
"30","Mike Gillislee","BUF",5,2,6,1,0,0,0,0,6.6,6.6,2016
"31","CJ Anderson","DEN",5,11,41,0,4,3,21,0,6.2,6.2,2016
"32","Matt Forte","NYJ",5,12,53,0,2,2,7,0,6,6,2016
"33","Devontae Booker","DEN",5,6,23,0,6,4,36,0,5.9,5.9,2016
"34","Matt Jones","WAS",5,14,31,0,2,2,25,0,5.6,5.6,2016
"35","Derrick Henry","TEN",5,7,54,0,0,0,0,0,5.4,5.4,2016
"36","Fozzy Whittaker","CAR",5,5,45,0,1,1,9,0,5.4,5.4,2016
"37","James Starks","GB",5,12,33,0,6,3,19,0,5.2,5.2,2016
"38","DeAndre Washington","OAK",5,9,23,0,6,5,29,0,5.2,5.2,2016
"39","Bilal Powell","NYJ",5,4,10,0,8,6,41,0,5.1,5.1,2016
"40","Jerick McKinnon","MIN",5,20,36,0,3,1,10,0,4.6,4.6,2016
"41","Chris Thompson","WAS",5,2,12,0,4,4,33,0,4.5,4.5,2016
"42","Isaiah Crowell","CLE",5,13,22,0,3,1,18,0,4,4,2016
"43","Alfred Blue","HOU",5,6,39,0,0,0,0,0,3.9,3.9,2016
"44","Alfred Morris","DAL",5,6,33,0,1,0,0,0,3.3,3.3,2016
"45","Zach Zenner","DET",5,7,9,0,2,2,23,0,3.2,3.2,2016
"46","Malcolm Brown","LAR",5,2,2,0,1,1,26,0,2.8,2.8,2016
"47","Lamar Miller","HOU",5,8,20,0,3,1,4,0,2.4,2.4,2016
"48","Duke Johnson","CLE",5,4,1,0,3,2,21,0,2.2,2.2,2016
"49","Paul Perkins","NYG",5,2,9,0,2,1,13,0,2.2,2.2,2016
"50","Kenyan Drake","MIA",5,2,4,0,3,2,16,0,2,2,2016
"51","Kyle Juszczyk","BAL",5,0,0,0,5,3,20,0,2,2,2016
"210","Andre Ellington","ARI",5,6,19,0,0,0,0,0,1.9,1.9,2016
"310","Javorius Allen","BAL",5,4,18,0,1,1,0,0,1.8,1.8,2016
"410","Rob Kelley","WAS",5,3,18,0,0,0,0,0,1.8,1.8,2016
"52","KaDeem Carey","CHI",5,1,2,0,1,1,15,0,1.7,1.7,2016
"61","DJ Foster","NE",5,6,17,0,0,0,0,0,1.7,1.7,2016
"71","Aaron Ripkowski","GB",5,2,17,0,0,0,0,0,1.7,1.7,2016
"81","Patrick DiMarco","ATL",5,0,0,0,1,1,13,0,1.3,1.3,2016
"91","Josh Ferguson","IND",5,1,3,0,4,2,10,0,1.3,1.3,2016
"101","Jeremy Hill","CIN",5,4,12,0,1,0,0,0,1.2,1.2,2016
"111","Orleans Darkwa","NYG",5,7,11,0,0,0,0,0,1.1,1.1,2016
"121","Peyton Barber","TB",5,3,6,0,0,0,0,0,0.6,0.6,2016
"131","Jerome Felton","BUF",5,1,6,0,0,0,0,0,0.6,0.6,2016
"141","Kenneth Dixon","BAL",5,3,-1,0,1,1,6,0,0.5,0.5,2016
"151","Mike Davis","SF",5,2,4,0,0,0,0,0,0.4,0.4,2016
"161","Rod Smith","DAL",5,0,0,0,1,1,4,0,0.4,0.4,2016
"171","Reggie Bush","BUF",5,1,3,0,0,0,0,0,0.3,0.3,2016
"181","Andy Janovich","DEN",5,1,2,0,1,0,0,0,0.2,0.2,2016
"191","Mike Tolbert","CAR",5,1,2,0,0,0,0,0,0.2,0.2,2016
"201","Derek Watt","SD",5,1,2,0,0,0,0,0,0.2,0.2,2016
"211","Dexter McCluster","SD",5,1,1,0,0,0,0,0,0.1,0.1,2016
"221","Zach Line","MIN",5,0,0,0,1,0,0,0,0,0,2016
"231","DeAngelo Williams","PIT",5,1,0,0,1,0,0,0,0,0,2016
