"","Name","Tm","Week","Target","Rec","RecYds","RecTD","RushAtt","RushYds","RushTD","FPts","FPts_G","Year"
"2","Brandin Cooks","NO",1,9,6,143,2,1,11,0,27.4,27.4,2016
"3","Antonio Brown","PIT",1,11,8,126,2,0,0,0,24.6,24.6,2016
"4","AJ Green","CIN",1,13,12,180,1,0,0,0,24,24,2016
"5","Willie Snead","NO",1,9,9,172,1,0,0,0,23.2,23.2,2016
"6","Larry Fitzgerald","ARI",1,10,8,81,2,0,0,0,20.1,20.1,2016
"7","Jordan Matthews","PHI",1,14,7,114,1,0,0,0,17.4,17.4,2016
"8","Will Fuller","HOU",1,11,5,107,1,0,0,0,16.7,16.7,2016
"9","Mike Wallace","BAL",1,6,3,91,1,1,11,0,16.2,16.2,2016
"10","Mike Evans","TB",1,7,5,99,1,0,0,0,15.9,15.9,2016
"11","Doug Baldwin","SEA",1,11,9,92,1,0,0,0,15.2,15.2,2016
"12","Kelvin Benjamin","CAR",1,12,6,91,1,0,0,0,15.1,15.1,2016
"13","Mohamed Sanu","ATL",1,8,5,80,1,0,0,0,14,14,2016
"14","Amari Cooper","OAK",1,11,6,137,0,0,0,0,13.7,13.7,2016
"15","Julio Jones","ATL",1,8,4,66,1,0,0,0,12.6,12.6,2016
"16","Donte Moncrief","IND",1,7,6,64,1,0,0,0,12.4,12.4,2016
"17","Jeremy Maclin","KC",1,7,5,63,1,1,-1,0,12.2,12.2,2016
"18","Chris Hogan","NE",1,4,3,60,1,0,0,0,12,12,2016
"19","Eli Rogers","PIT",1,7,6,59,1,0,0,0,11.9,11.9,2016
"20","Nelson Agholor","PHI",1,5,4,57,1,0,0,0,11.7,11.7,2016
"21","Eddie Royal","CHI",1,6,4,57,1,0,0,0,11.7,11.7,2016
"22","Quincy Enunwa","NYJ",1,8,7,54,1,0,0,0,11.4,11.4,2016
"23","DeAndre Hopkins","HOU",1,8,5,54,1,0,0,0,11.4,11.4,2016
"24","Davante Adams","GB",1,7,3,50,1,0,0,0,11,11,2016
"25","Alshon Jeffery","CHI",1,6,4,105,0,0,0,0,10.5,10.5,2016
"26","Sterling Shepard","NYG",1,4,3,43,1,0,0,0,10.3,10.3,2016
"27","Stefon Diggs","MIN",1,9,7,103,0,1,-1,0,10.2,10.2,2016
