Player,Tm,XPM,XPA,FGM,FGA,Pnt,Yds,Y/P,Lng,
Graham Gano,CAR,2,2,2,3,0,0,,0,http://www.pro-football-reference.com/boxscores/201609080den.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Andy Lee,CAR,,,,,4,252,63.0,76,http://www.pro-football-reference.com/boxscores/201609080den.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Brandon McManus,DEN,3,3,,,0,0,,0,http://www.pro-football-reference.com/boxscores/201609080den.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Riley Dixon,DEN,,,,,3,140,46.7,54,http://www.pro-football-reference.com/boxscores/201609080den.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Mason Crosby,GNB,3,3,2,2,0,0,,0,http://www.pro-football-reference.com/boxscores/201609110jax.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Jake Schum,GNB,,,,,4,184,46.0,56,http://www.pro-football-reference.com/boxscores/201609110jax.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Jason Myers,JAX,2,2,3,3,0,0,,0,http://www.pro-football-reference.com/boxscores/201609110jax.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Brad Nortman,JAX,,,,,2,125,62.5,67,http://www.pro-football-reference.com/boxscores/201609110jax.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Dan Carpenter,BUF,1,1,,1,0,0,,0,http://www.pro-football-reference.com/boxscores/201609110rav.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Colton Schmidt,BUF,,,,,7,313,44.7,50,http://www.pro-football-reference.com/boxscores/201609110rav.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Justin Tucker,BAL,1,1,2,2,0,0,,0,http://www.pro-football-reference.com/boxscores/201609110rav.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Sam Koch,BAL,,,,,3,128,42.7,46,http://www.pro-football-reference.com/boxscores/201609110rav.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Connor Barth,CHI,2,2,,,0,0,,0,http://www.pro-football-reference.com/boxscores/201609110htx.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Pat O'Donnell,CHI,,,,,7,296,42.3,47,http://www.pro-football-reference.com/boxscores/201609110htx.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Nick Novak,HOU,2,2,3,3,0,0,,0,http://www.pro-football-reference.com/boxscores/201609110htx.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Shane Lechler,HOU,,,,,5,243,48.6,60,http://www.pro-football-reference.com/boxscores/201609110htx.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Mike Nugent,CIN,2,2,3,4,0,0,,0,http://www.pro-football-reference.com/boxscores/201609110nyj.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Kevin Huber,CIN,,,,,3,144,48.0,58,http://www.pro-football-reference.com/boxscores/201609110nyj.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Nick Folk,NYJ,1,2,3,4,0,0,,0,http://www.pro-football-reference.com/boxscores/201609110nyj.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Lac Edwards,NYJ,,,,,3,154,51.3,54,http://www.pro-football-reference.com/boxscores/201609110nyj.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Patrick Murray,CLE,1,1,1,1,0,0,,0,http://www.pro-football-reference.com/boxscores/201609110phi.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Britton Colquitt,CLE,,,,,5,251,50.2,59,http://www.pro-football-reference.com/boxscores/201609110phi.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Caleb Sturgis,PHI,3,3,2,3,0,0,,0,http://www.pro-football-reference.com/boxscores/201609110phi.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Donnie Jones,PHI,,,,,6,295,49.2,72,http://www.pro-football-reference.com/boxscores/201609110phi.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Blair Walsh,MIN,1,2,4,6,0,0,,0,http://www.pro-football-reference.com/boxscores/201609110oti.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Jeff Locke,MIN,,,,,3,113,37.7,51,http://www.pro-football-reference.com/boxscores/201609110oti.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Ryan Succop,TEN,1,1,1,1,0,0,,0,http://www.pro-football-reference.com/boxscores/201609110oti.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Brett Kern,TEN,,,,,5,231,46.2,64,http://www.pro-football-reference.com/boxscores/201609110oti.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
