Player,Tm,Rt,Yds,Y/Rt,TD,Lng,Ret,Yds,Y/R,TD,Lng,
Lucky Whitehead,DAL,1,22,22.0,0,22,2,1,0.5,0,1,http://www.pro-football-reference.com/boxscores/201612010min.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Lance Dunbar,DAL,1,16,16.0,0,16,0,0,,0,0,http://www.pro-football-reference.com/boxscores/201612010min.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Adam Thielen,MIN,0,0,,0,0,2,-5,-2.5,0,1,http://www.pro-football-reference.com/boxscores/201612010min.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Cordarrelle Patterson,MIN,3,80,26.7,0,35,1,0,0.0,0,0,http://www.pro-football-reference.com/boxscores/201612010min.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Matt Asiata,MIN,1,11,11.0,0,11,0,0,,0,0,http://www.pro-football-reference.com/boxscores/201612010min.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Tyreek Hill,KAN,0,0,,0,0,1,-1,-1.0,0,-1,http://www.pro-football-reference.com/boxscores/201612040atl.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
De'Anthony Thomas,KAN,6,130,21.7,0,30,0,0,,0,0,http://www.pro-football-reference.com/boxscores/201612040atl.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Eric Weems,ATL,1,17,17.0,0,17,1,-1,-1.0,0,-1,http://www.pro-football-reference.com/boxscores/201612040atl.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Andre Roberts,DET,2,49,24.5,0,28,0,0,,0,0,http://www.pro-football-reference.com/boxscores/201612040nor.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Tommylee Lewis,NOR,2,26,13.0,0,17,1,24,24.0,0,24,http://www.pro-football-reference.com/boxscores/201612040nor.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Kalif Raymond,DEN,0,0,,0,0,4,40,10.0,0,22,http://www.pro-football-reference.com/boxscores/201612040jax.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Bryan Walters,JAX,0,0,,0,0,4,17,4.3,0,8,http://www.pro-football-reference.com/boxscores/201612040jax.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Chris Smith,JAX,1,0,0.0,0,0,0,0,,0,0,http://www.pro-football-reference.com/boxscores/201612040jax.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Pharoh Cooper,LAR,0,0,,0,0,4,8,2.0,0,6,http://www.pro-football-reference.com/boxscores/201612040nwe.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Benny Cunningham,LAR,4,92,23.0,0,25,0,0,,0,0,http://www.pro-football-reference.com/boxscores/201612040nwe.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Danny Amendola,NWE,0,0,,0,0,4,6,1.5,0,8,http://www.pro-football-reference.com/boxscores/201612040nwe.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Cyrus Jones,NWE,1,24,24.0,0,24,2,1,0.5,0,1,http://www.pro-football-reference.com/boxscores/201612040nwe.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
James White,NWE,1,10,10.0,0,10,0,0,,0,0,http://www.pro-football-reference.com/boxscores/201612040nwe.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Dontae Johnson,SFO,0,0,,0,0,1,25,25.0,0,25,http://www.pro-football-reference.com/boxscores/201612040chi.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
JaCorey Shepherd,SFO,3,57,19.0,0,24,0,0,,0,0,http://www.pro-football-reference.com/boxscores/201612040chi.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Bryce Callahan,CHI,1,0,0.0,0,0,1,3,3.0,0,3,http://www.pro-football-reference.com/boxscores/201612040chi.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Paul Lasike,CHI,1,5,5.0,0,5,0,0,,0,0,http://www.pro-football-reference.com/boxscores/201612040chi.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Deonte Thompson,CHI,1,28,28.0,0,28,0,0,,0,0,http://www.pro-football-reference.com/boxscores/201612040chi.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Darren Sproles,PHI,0,0,,0,0,1,7,7.0,0,7,http://www.pro-football-reference.com/boxscores/201612040cin.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Kenjon Barner,PHI,2,88,44.0,0,61,0,0,,0,0,http://www.pro-football-reference.com/boxscores/201612040cin.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Wendell Smallwood,PHI,1,13,13.0,0,13,0,0,,0,0,http://www.pro-football-reference.com/boxscores/201612040cin.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Zach Ertz,PHI,1,8,8.0,0,8,0,0,,0,0,http://www.pro-football-reference.com/boxscores/201612040cin.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Alex Erickson,CIN,1,19,19.0,0,19,2,9,4.5,0,8,http://www.pro-football-reference.com/boxscores/201612040cin.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Will Fuller,HOU,0,0,,0,0,1,16,16.0,0,16,http://www.pro-football-reference.com/boxscores/201612040gnb.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Akeem Hunt,HOU,3,66,22.0,0,29,0,0,,0,0,http://www.pro-football-reference.com/boxscores/201612040gnb.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Randall Cobb,GNB,0,0,,0,0,2,44,22.0,0,23,http://www.pro-football-reference.com/boxscores/201612040gnb.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Marwin Evans,GNB,0,0,,0,0,1,0,0.0,0,0,http://www.pro-football-reference.com/boxscores/201612040gnb.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Jeff Janis,GNB,1,28,28.0,0,28,0,0,,0,0,http://www.pro-football-reference.com/boxscores/201612040gnb.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Ty Montgomery,GNB,1,39,39.0,0,39,0,0,,0,0,http://www.pro-football-reference.com/boxscores/201612040gnb.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Jakeem Grant,MIA,1,18,18.0,0,18,0,0,,0,0,http://www.pro-football-reference.com/boxscores/201612040rav.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Devin Hester,BAL,1,17,17.0,0,17,3,3,1.0,0,4,http://www.pro-football-reference.com/boxscores/201612040rav.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Brandon Tate,BUF,4,83,20.8,0,26,0,0,,0,0,http://www.pro-football-reference.com/boxscores/201612040rai.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Jalen Richard,OAK,1,22,22.0,0,22,2,17,8.5,0,17,http://www.pro-football-reference.com/boxscores/201612040rai.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Jamison Crowder,WAS,0,0,,0,0,2,17,8.5,0,10,http://www.pro-football-reference.com/boxscores/201612040crd.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Maurice Harris,WAS,2,30,15.0,0,26,0,0,,0,0,http://www.pro-football-reference.com/boxscores/201612040crd.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Chris Thompson,WAS,1,26,26.0,0,26,0,0,,0,0,http://www.pro-football-reference.com/boxscores/201612040crd.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Patrick Peterson,ARI,0,0,,0,0,1,13,13.0,0,13,http://www.pro-football-reference.com/boxscores/201612040crd.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Dwayne Harris,NYG,2,40,20.0,0,22,1,1,1.0,0,1,http://www.pro-football-reference.com/boxscores/201612040pit.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Bobby Rainey,NYG,1,38,38.0,0,38,0,0,,0,0,http://www.pro-football-reference.com/boxscores/201612040pit.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Sammie Coates,PIT,1,24,24.0,0,24,0,0,,0,0,http://www.pro-football-reference.com/boxscores/201612040pit.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Antonio Brown,PIT,1,23,23.0,0,23,0,0,,0,0,http://www.pro-football-reference.com/boxscores/201612040pit.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Vernon Hargreaves,TAM,0,0,,0,0,2,14,7.0,0,9,http://www.pro-football-reference.com/boxscores/201612040sdg.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Adam Humphries,TAM,0,0,,0,0,1,7,7.0,0,7,http://www.pro-football-reference.com/boxscores/201612040sdg.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Isaiah Burse,SDG,0,0,,0,0,1,12,12.0,0,12,http://www.pro-football-reference.com/boxscores/201612040sdg.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Fozzy Whittaker,CAR,3,64,21.3,0,31,0,0,,0,0,http://www.pro-football-reference.com/boxscores/201612040sea.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Ted Ginn,CAR,1,25,25.0,0,25,0,0,,0,0,http://www.pro-football-reference.com/boxscores/201612040sea.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Tyler Lockett,SEA,1,46,46.0,0,46,3,12,4.0,0,10,http://www.pro-football-reference.com/boxscores/201612040sea.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Chester Rogers,IND,0,0,,0,0,2,36,18.0,0,30,http://www.pro-football-reference.com/boxscores/201612050nyj.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Jordan Todman,IND,1,26,26.0,0,26,0,0,,0,0,http://www.pro-football-reference.com/boxscores/201612050nyj.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Jeremy Ross,NYJ,6,120,20.0,0,28,0,0,,0,0,http://www.pro-football-reference.com/boxscores/201612050nyj.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Jalen Richard,OAK,2,41,20.5,0,26,1,2,2.0,0,2,http://www.pro-football-reference.com/boxscores/201612080kan.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Taiwan Jones,OAK,1,11,11.0,0,11,0,0,,0,0,http://www.pro-football-reference.com/boxscores/201612080kan.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Tyreek Hill,KAN,1,25,25.0,0,25,6,99,16.5,1,78,http://www.pro-football-reference.com/boxscores/201612080kan.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
De'Anthony Thomas,KAN,2,48,24.0,0,25,0,0,,0,0,http://www.pro-football-reference.com/boxscores/201612080kan.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Alex Erickson,CIN,3,53,17.7,0,21,3,47,15.7,0,24,http://www.pro-football-reference.com/boxscores/201612110cle.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Ricardo Louis,CLE,4,61,15.3,0,24,0,0,,0,0,http://www.pro-football-reference.com/boxscores/201612110cle.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Jamison Crowder,WAS,0,0,,0,0,2,13,6.5,0,8,http://www.pro-football-reference.com/boxscores/201612110phi.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Chris Thompson,WAS,4,85,21.3,0,25,0,0,,0,0,http://www.pro-football-reference.com/boxscores/201612110phi.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Darren Sproles,PHI,0,0,,0,0,1,5,5.0,0,5,http://www.pro-football-reference.com/boxscores/201612110phi.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Nelson Agholor,PHI,2,27,13.5,0,16,0,0,,0,0,http://www.pro-football-reference.com/boxscores/201612110phi.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Paul Turner,PHI,1,11,11.0,0,11,0,0,,0,0,http://www.pro-football-reference.com/boxscores/201612110phi.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Wendell Smallwood,PHI,1,27,27.0,0,27,0,0,,0,0,http://www.pro-football-reference.com/boxscores/201612110phi.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Kalif Raymond,DEN,0,0,,0,0,2,21,10.5,0,21,http://www.pro-football-reference.com/boxscores/201612110oti.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Marc Mariani,TEN,2,37,18.5,0,20,1,17,17.0,0,17,http://www.pro-football-reference.com/boxscores/201612110oti.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Akeem Hunt,HOU,2,36,18.0,0,18,0,0,,0,0,http://www.pro-football-reference.com/boxscores/201612110clt.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Chester Rogers,IND,0,0,,0,0,2,4,2.0,0,2,http://www.pro-football-reference.com/boxscores/201612110clt.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
