TeamID,GameID,1stDowns,RushAtt,RushYDs,RushTDs,PassComp,PassAtt,PassYDs,PassTDs,Ints,Sacked,SackedYDs,NetPassYDs,TotalYDs,Fumbles,FumblesLost,Turnovers,Penalties,PenaltyYDs,3rdM,3rdAtt,4thM,4thAtt,TOP,Q1,Q2,Q3,Q4,OT,URL
CHI,,13,18,69,0,10,26,130,0,2,1,10,120,189,0,0,2,10,108,2,8,0,0,20:24,0,3,7,0,,http://www.pro-football-reference.com/boxscores/201610200gnb.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
GNB,,32,23,103,0,39,56,326,3,0,2,23,303,406,2,1,1,9,56,9,16,1,2,39:36,3,3,7,13,,http://www.pro-football-reference.com/boxscores/201610200gnb.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
NYG,,13,20,36,1,24,37,196,0,0,0,0,196,232,1,1,1,3,33,4,19,0,0,24:57,0,10,0,7,,http://www.pro-football-reference.com/boxscores/201610230ram.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
LAR,,20,20,74,0,32,53,291,1,4,3,20,271,345,4,0,4,8,43,9,19,1,1,35:03,10,0,0,0,,http://www.pro-football-reference.com/boxscores/201610230ram.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
OAK,,21,34,144,2,23,37,200,1,0,0,0,200,344,1,0,0,11,117,8,18,1,1,33:27,3,17,3,10,,http://www.pro-football-reference.com/boxscores/201610230jax.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
JAX,,19,16,105,0,23,43,246,1,2,1,7,239,344,2,1,3,13,122,4,13,0,0,26:33,0,6,3,7,,http://www.pro-football-reference.com/boxscores/201610230jax.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
MIN,,18,27,93,0,24,41,224,1,1,6,35,189,282,5,3,4,7,56,9,19,1,3,32:08,0,3,0,7,,http://www.pro-football-reference.com/boxscores/201610230phi.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
PHI,,15,26,101,0,16,28,138,1,2,0,0,138,239,4,2,4,7,53,4,11,1,1,27:52,0,11,7,3,,http://www.pro-football-reference.com/boxscores/201610230phi.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
IND,,26,24,81,0,27,39,353,3,0,2,12,341,422,0,0,0,12,131,4,10,0,0,32:30,7,10,3,14,,http://www.pro-football-reference.com/boxscores/201610230oti.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
TEN,,26,28,124,1,22,37,232,2,0,3,25,207,331,2,1,1,6,38,9,15,0,0,27:30,6,7,0,13,,http://www.pro-football-reference.com/boxscores/201610230oti.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
WAS,,26,29,130,1,30,39,301,1,0,2,18,283,413,4,2,2,4,20,9,15,0,0,34:59,0,3,0,14,,http://www.pro-football-reference.com/boxscores/201610230det.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
DET,,19,19,94,1,18,29,266,1,0,3,16,250,344,1,0,0,4,30,3,9,0,0,25:01,0,3,7,10,,http://www.pro-football-reference.com/boxscores/201610230det.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
BUF,,16,22,67,2,14,28,221,1,0,4,21,200,267,0,0,0,6,45,3,13,0,0,22:58,3,7,7,8,,http://www.pro-football-reference.com/boxscores/201610230mia.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
MIA,,26,42,256,2,15,25,204,1,0,1,6,198,454,0,0,0,13,116,5,12,0,0,37:02,3,3,8,14,,http://www.pro-football-reference.com/boxscores/201610230mia.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
CLE,,22,26,180,2,21,35,182,0,2,2,10,172,352,0,0,2,5,35,6,14,0,0,31:48,0,10,7,0,,http://www.pro-football-reference.com/boxscores/201610230cin.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
CIN,,23,30,271,2,19,28,308,2,0,3,20,288,559,2,1,1,3,30,5,10,0,0,28:12,7,14,10,0,,http://www.pro-football-reference.com/boxscores/201610230cin.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
NOR,,27,22,104,0,37,48,367,3,1,1,8,359,463,3,1,2,10,75,9,14,0,0,32:38,7,0,7,7,,http://www.pro-football-reference.com/boxscores/201610230kan.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
KAN,,20,28,112,0,17,24,214,2,0,0,0,214,326,0,0,0,4,30,3,9,0,0,27:22,14,7,3,3,,http://www.pro-football-reference.com/boxscores/201610230kan.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
BAL,,11,11,11,0,25,44,248,0,2,2,14,234,245,3,1,3,4,35,3,14,0,1,23:23,10,6,0,0,,http://www.pro-football-reference.com/boxscores/201610230nyj.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
NYJ,,16,39,155,1,13,22,215,2,0,5,26,189,344,2,2,2,4,25,6,16,0,1,36:37,7,7,10,0,,http://www.pro-football-reference.com/boxscores/201610230nyj.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
TAM,,27,41,249,1,21,30,269,3,1,2,5,264,513,2,0,1,7,78,6,14,0,1,33:49,0,17,10,7,,http://www.pro-football-reference.com/boxscores/201610230sfo.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
SFO,,20,28,160,1,16,34,143,1,1,4,30,113,273,4,2,3,4,31,6,15,1,1,26:11,14,0,0,3,,http://www.pro-football-reference.com/boxscores/201610230sfo.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
SDG,,26,26,78,2,27,45,371,1,1,4,23,348,426,1,1,2,3,14,9,16,1,1,35:29,7,10,3,10,33,http://www.pro-football-reference.com/boxscores/201610230atl.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
ATL,,21,26,130,1,22,34,273,1,1,3,17,256,386,0,0,1,9,70,6,12,0,1,30:30,6,21,0,3,30,http://www.pro-football-reference.com/boxscores/201610230atl.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
NWE,,21,29,140,2,19,26,222,2,0,0,0,222,362,2,2,2,4,40,7,12,0,0,27:31,7,7,6,7,,http://www.pro-football-reference.com/boxscores/201610230pit.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
PIT,,17,22,94,0,29,47,281,1,1,0,0,281,375,1,0,1,10,85,5,16,1,2,32:29,0,10,3,3,,http://www.pro-football-reference.com/boxscores/201610230pit.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
SEA,,11,19,52,0,24,37,225,0,0,1,20,205,257,2,0,0,10,90,3,14,0,0,28:39,0,0,0,3,6,http://www.pro-football-reference.com/boxscores/201610230crd.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
ARI,,23,37,132,0,29,49,342,0,0,4,31,311,443,1,0,0,6,45,10,21,0,1,46:21,0,3,0,0,6,http://www.pro-football-reference.com/boxscores/201610230crd.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
HOU,,14,25,140,0,22,41,131,0,0,1,0,131,271,4,2,2,2,15,7,18,0,2,29:22,6,0,3,0,,http://www.pro-football-reference.com/boxscores/201610240den.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
DEN,,19,35,190,2,14,25,157,1,0,0,0,157,347,1,0,0,7,83,3,11,0,0,30:38,0,14,7,6,,http://www.pro-football-reference.com/boxscores/201610240den.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
JAX,,27,11,48,0,33,54,337,3,0,2,15,322,370,2,1,1,7,75,6,13,0,1,25:35,0,0,8,14,,http://www.pro-football-reference.com/boxscores/201610270oti.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
TEN,,25,43,214,2,19,23,280,2,0,0,0,280,494,1,0,0,7,54,9,15,0,0,34:25,3,24,6,3,,http://www.pro-football-reference.com/boxscores/201610270oti.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
