Team,1st Downs,RushAtt,RushYDs,RushTDs,PassComp,PassAtt,PassYds,PassTDs,INT,Sacked,SackedYDs,NetPassYDs,TotalYDs,Fumbles,FumblesLost,TotalTurnovers,Penalties,PenaltyYDs,3rdMade,3rdAtt,4thMade,4thAtt,TOP,Q1pts,Q2pts,Q3pts,Q4pts,OTpts,URL
ARI,21,16,60,1,23,41,235,1,4,3,8,227,287,3,3,7,8,51,3,10,2,2,23:21,0,7,0,8,null,http://www.pro-football-reference.com/boxscores/201601240car.htm
CAR,21,37,152,3,19,28,335,2,1,1,11,324,476,0,0,1,5,45,8,14,0,1,36:39:00,17,7,10,15,null,http://www.pro-football-reference.com/boxscores/201601240car.htm
ARI,21,28,115,1,17,24,185,4,1,0,0,185,300,1,1,2,8,58,5,9,1,1,30:04:00,14,14,14,6,null,http://www.pro-football-reference.com/boxscores/201509200chi.htm
CHI,18,28,109,1,22,32,241,1,2,2,15,226,335,3,0,2,14,170,2,12,0,1,29:56:00,7,13,3,0,null,http://www.pro-football-reference.com/boxscores/201509200chi.htm
ARI,25,38,119,0,23,38,374,4,1,1,2,372,491,4,3,4,5,25,13,16,0,0,34:23:00,7,3,14,10,null,http://www.pro-football-reference.com/boxscores/201511010cle.htm
CLE,16,20,39,0,21,40,223,3,1,1,8,215,254,3,1,2,7,35,9,16,0,1,25:37:00,7,13,0,0,null,http://www.pro-football-reference.com/boxscores/201511010cle.htm
ARI,15,25,187,3,12,18,171,3,0,2,13,158,345,0,0,0,9,70,1,8,0,0,23:28,0,28,7,7,null,http://www.pro-football-reference.com/boxscores/201510110det.htm
DET,29,18,56,0,41,70,379,2,4,1,0,379,435,3,2,6,9,85,8,17,0,1,36:32:00,7,0,0,10,null,http://www.pro-football-reference.com/boxscores/201510110det.htm
ARI,28,39,230,3,20,33,274,1,0,2,11,263,493,1,0,0,1,10,8,14,0,0,37:28:00,7,10,13,10,null,http://www.pro-football-reference.com/boxscores/201512200phi.htm
PHI,19,20,74,0,28,41,361,2,2,2,11,350,424,2,2,4,5,38,6,12,0,2,22:32,3,7,0,7,null,http://www.pro-football-reference.com/boxscores/201512200phi.htm
ARI,21,20,55,0,29,45,421,1,2,1,7,414,469,2,1,3,9,111,5,12,0,1,31:09:00,7,3,0,3,null,http://www.pro-football-reference.com/boxscores/201510180pit.htm
PIT,14,32,141,0,11,20,174,2,0,1,5,169,310,0,0,0,6,48,3,12,0,0,28:51:00,0,3,12,10,null,http://www.pro-football-reference.com/boxscores/201510180pit.htm
ARI,30,33,117,1,29,47,363,3,1,3,29,334,451,2,2,3,9,66,8,17,0,0,38:52:00,0,22,3,14,null,http://www.pro-football-reference.com/boxscores/201511150sea.htm
SEA,18,18,115,2,14,32,240,1,1,2,12,228,343,2,0,1,14,131,1,8,1,1,21:08,0,7,10,15,null,http://www.pro-football-reference.com/boxscores/201511150sea.htm
ARI,26,29,70,2,24,40,271,0,0,1,4,267,337,0,0,0,7,47,7,14,0,1,37:27:00,3,3,7,6,null,http://www.pro-football-reference.com/boxscores/201511290sfo.htm
SFO,17,17,67,0,25,36,318,1,1,2,17,301,368,2,1,2,13,81,0,9,1,2,22:33,0,3,10,0,null,http://www.pro-football-reference.com/boxscores/201511290sfo.htm
ARI,29,36,175,1,27,41,362,2,0,2,13,349,524,1,0,0,3,25,7,16,0,1,39:47:00,7,3,14,3,null,http://www.pro-football-reference.com/boxscores/201512060ram.htm
STL,9,15,66,0,15,35,146,0,1,0,0,146,212,1,0,1,7,104,1,12,1,2,20:13,0,0,3,0,null,http://www.pro-football-reference.com/boxscores/201512060ram.htm
ATL,15,16,54,0,25,41,235,0,2,5,59,176,230,4,2,4,6,54,4,14,1,4,28:21:00,0,0,0,0,null,http://www.pro-football-reference.com/boxscores/201512130car.htm
CAR,20,32,142,2,19,27,301,3,0,2,19,282,424,0,0,0,6,60,6,12,0,1,31:21:00,21,7,10,0,null,http://www.pro-football-reference.com/boxscores/201512130car.htm
ATL,26,32,158,3,24,36,285,2,0,1,5,280,438,0,0,0,6,70,9,14,0,0,34:13:00,7,10,8,14,null,http://www.pro-football-reference.com/boxscores/201509270dal.htm
DAL,23,21,127,4,22,26,232,0,1,2,12,220,347,0,0,1,5,31,1,6,0,1,25:47:00,14,14,0,0,null,http://www.pro-football-reference.com/boxscores/201509270dal.htm
ATL,22,33,83,1,22,35,246,1,1,1,1,245,328,0,0,1,5,43,7,14,0,0,34:33:00,7,10,0,6,null,http://www.pro-football-reference.com/boxscores/201512200jax.htm
JAX,21,20,85,1,23,38,297,1,1,2,12,285,370,3,0,1,5,62,0,8,0,1,25:27:00,0,3,14,0,null,http://www.pro-football-reference.com/boxscores/201512200jax.htm
